cdmMissDistance,cdmPc,creationTsOfCDM,SAT1_CDM_TYPE,SAT2_CDM_TYPE,cdmTca,rso1_noradId,rso1_objectType,org1_displayName,rso2_noradId,rso2_objectType,org2_displayName,condition_cdmType=EPHEM:HAC,condition_24H_tca_72H,condition_Pc>1e-6,condition_missDistance<2000m,condition_Radial_100m,condition_Radial<50m,condition_InTrack_500m,condition_CrossTrack_500m,condition_sat2posUnc_1km,condition_sat2Obs_25,hours_to_tca,HighRisk,log_cdmPc,inv_miss_distance,tca_bin,same_sat_type,is_debris_pair,close_all_axes,risky_uncertainty,distance_ratio,object_type_match
39277,0.0,2024-08-07 03:35:56,EPHEM,HAC,2024-08-08 17:46:22.125,59517,PAYLOAD,SpaceX,56643,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,False,38.17392361111112,0,0.0,2.5459544783339274e-05,3,0,0,0,0,1002.6312500609371,0
11696,0.0,2024-09-07 23:32:15,EPHEM,HAC,2024-09-09 00:25:51.330,56451,PAYLOAD,SpaceX,55876,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,True,24.893425,0,0.0,8.54920064973925e-05,2,0,0,0,0,451.69768000950046,0
41117,0.0,2024-08-06 20:36:29,EPHEM,HAC,2024-08-09 09:20:47.682,51983,PAYLOAD,SpaceX,54910,DEBRIS,NONE,True,True,False,False,True,True,False,False,True,False,60.73852277777778,0,0.0,2.4320249039350164e-05,5,0,0,0,0,665.9861323212562,0
13578,0.0,2024-08-10 19:49:04,EPHEM,HAC,2024-08-12 03:04:56.003,60142,PAYLOAD,SpaceX,54932,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,False,31.264445277777774,0,0.0,7.364312541424258e-05,2,0,0,0,0,420.8347573653121,0
17318,1.956347e-12,2024-08-09 08:30:35,EPHEM,HAC,2024-08-10 03:41:37.455,54773,PAYLOAD,SpaceX,54399,DEBRIS,NONE,True,False,False,False,False,False,False,False,True,False,19.184015277777775,0,1.9563469999980865e-12,5.774005427565102e-05,1,0,0,0,0,858.0056922106473,0
49432,0.0,2024-09-08 20:24:53,EPHEM,HAC,2024-09-09 13:05:44.198,59857,PAYLOAD,SpaceX,60638,DEBRIS,NONE,True,False,False,False,False,False,False,False,True,False,16.680888333333332,0,0.0,2.0229401412012217e-05,1,0,0,0,0,2795.7871272116513,0
5395,5.318086e-21,2024-09-09 21:23:53,EPHEM,HAC,2024-09-10 12:23:34.029,58443,PAYLOAD,SpaceX,52152,ROCKET BODY,NONE,True,False,False,False,False,False,False,False,False,False,14.994730277777778,0,5.318086e-21,0.00018532246108228317,1,0,0,0,0,337.2985918678181,0
55501,0.0,2024-08-10 14:33:32,EPHEM,HAC,2024-08-12 01:15:29.175,44922,PAYLOAD,SpaceX,55230,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,False,34.69921527777778,0,0.0,1.8017368743468703e-05,2,0,0,0,0,1554.6840334764593,0
54140,0.0,2024-08-11 14:55:19,EPHEM,HAC,2024-08-12 17:45:47.772,45689,PAYLOAD,SpaceX,58200,ROCKET BODY,NONE,True,True,False,False,False,False,False,False,True,False,26.84132555555556,0,0.0,1.8470290537670156e-05,2,0,0,0,0,1944.5913195464468,0
24133,2.551692e-08,2024-09-08 07:05:40,EPHEM,HAC,2024-09-10 22:03:46.452,48663,PAYLOAD,SpaceX,58200,ROCKET BODY,NONE,True,True,False,False,False,False,False,False,True,False,62.96845888888889,0,2.5516919674443403e-08,4.143531946631308e-05,5,0,0,0,0,377.2640519903446,0
185,1.397486e-08,2024-08-05 07:09:05,HAC,HAC,2024-08-07 00:00:49.001,54172,PAYLOAD,SpaceX,54399,DEBRIS,NONE,False,True,False,True,False,False,True,True,True,False,40.8622225,0,1.3974859902351644e-08,0.005376344086021506,3,1,0,0,1,4.419258915362174,0
4692,0.0,2024-08-11 21:18:39,EPHEM,HAC,2024-08-12 11:09:49.355,56790,PAYLOAD,SpaceX,54961,DEBRIS,NONE,True,False,False,False,False,False,False,False,True,False,13.85287638888889,0,0.0,0.00021308331557639036,1,0,0,0,0,315.898407631668,0
9516,1.470247e-14,2024-08-06 15:22:30,EPHEM,HAC,2024-08-07 20:26:04.918,46781,PAYLOAD,SpaceX,56264,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,True,29.059699444444448,0,1.4702469999999893e-14,0.00010507512871703268,2,0,0,0,0,316.5700314997235,0
50604,0.0,2024-08-10 06:33:47,EPHEM,HAC,2024-08-12 17:54:27.502,47643,PAYLOAD,SpaceX,54961,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,False,59.34458388888889,0,0.0,1.9760893192372295e-05,4,0,0,0,0,838.583957976676,0
32365,0.0,2024-09-07 05:12:23,EPHEM,HAC,2024-09-08 01:06:23.633,55782,PAYLOAD,SpaceX,60819,DEBRIS,NONE,True,False,False,False,False,False,False,False,False,False,19.90017583333333,0,0.0,3.089661990978187e-05,1,0,0,0,0,1548.5515652160984,0
9947,1.221852e-12,2024-09-06 21:40:23,EPHEM,HAC,2024-09-09 02:33:37.396,53198,PAYLOAD,SpaceX,54322,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,False,52.88733222222223,0,1.2218519999992534e-12,0.00010052271813429835,4,0,0,0,0,184.58883729816606,0
34449,1.155111e-21,2024-09-10 13:36:29,EPHEM,HAC,2024-09-11 17:37:14.779,53784,PAYLOAD,SpaceX,54435,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,False,28.012716388888887,0,1.155111e-21,2.9027576197387517e-05,2,0,0,0,0,1187.375891944853,0
34918,0.0,2024-09-06 13:11:34,EPHEM,HAC,2024-09-06 23:46:05.591,58714,PAYLOAD,SpaceX,54310,DEBRIS,NONE,True,False,False,False,False,False,False,False,True,False,10.575441944444444,0,0.0,2.8637704401615166e-05,0,0,0,0,0,3016.5586910276597,0
45719,9.635229e-16,2024-08-09 11:27:01,EPHEM,HAC,2024-08-09 20:42:52.457,45396,PAYLOAD,SpaceX,54910,DEBRIS,NONE,True,False,False,False,False,False,False,False,True,True,9.264293611111112,0,9.635228999999996e-16,2.1872265966754154e-05,0,0,0,0,0,4454.1788974653955,0
1870,0.0,2024-08-10 15:53:07,EPHEM,HAC,2024-08-13 19:40:37.887,58286,PAYLOAD,Planet,54387,DEBRIS,NONE,True,False,False,True,False,False,False,True,True,False,75.79191305555555,0,0.0,0.0005344735435595938,6,0,0,0,0,24.351522518356038,0
10696,0.0,2024-09-05 01:14:44,EPHEM,HAC,2024-09-06 02:26:18.826,48449,PAYLOAD,SpaceX,54387,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,False,25.19300722222222,0,0.0,9.348415443582313e-05,2,0,0,0,0,408.35326426075596,0
54596,0.0,2024-09-05 13:15:28,EPHEM,HAC,2024-09-06 04:22:44.328,57224,PAYLOAD,SpaceX,54310,DEBRIS,NONE,True,False,False,False,False,False,False,False,True,False,15.121202222222225,0,0.0,1.8316024690001283e-05,1,0,0,0,0,3386.5960644512174,0
