cdmMissDistance,cdmPc,creationTsOfCDM,SAT1_CDM_TYPE,SAT2_CDM_TYPE,cdmTca,rso1_noradId,rso1_objectType,org1_displayName,rso2_noradId,rso2_objectType,org2_displayName,condition_cdmType=EPHEM:HAC,condition_24H_tca_72H,condition_Pc>1e-6,condition_missDistance<2000m,condition_Radial_100m,condition_Radial<50m,condition_InTrack_500m,condition_CrossTrack_500m,condition_sat2posUnc_1km,condition_sat2Obs_25,hours_to_tca,HighRisk
39277,0.0,2024-08-07 03:35:56,EPHEM,HAC,2024-08-08 17:46:22.125,59517,PAYLOAD,SpaceX,56643,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,False,38.173923611111114,0
11696,0.0,2024-09-07 23:32:15,EPHEM,HAC,2024-09-09 00:25:51.330,56451,PAYLOAD,SpaceX,55876,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,True,24.893425,0
41117,0.0,2024-08-06 20:36:29,EPHEM,HAC,2024-08-09 09:20:47.682,51983,PAYLOAD,SpaceX,54910,DEBRIS,NONE,True,True,False,False,True,True,False,False,True,False,60.73852277777778,0
13578,0.0,2024-08-10 19:49:04,EPHEM,HAC,2024-08-12 03:04:56.003,60142,PAYLOAD,SpaceX,54932,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,False,31.264445277777778,0
17318,1.956347e-12,2024-08-09 08:30:35,EPHEM,HAC,2024-08-10 03:41:37.455,54773,PAYLOAD,SpaceX,54399,DEBRIS,NONE,True,False,False,False,False,False,False,False,True,False,19.184015277777778,0
49432,0.0,2024-09-08 20:24:53,EPHEM,HAC,2024-09-09 13:05:44.198,59857,PAYLOAD,SpaceX,60638,DEBRIS,NONE,True,False,False,False,False,False,False,False,True,False,16.680888333333332,0
5395,5.318086e-21,2024-09-09 21:23:53,EPHEM,HAC,2024-09-10 12:23:34.029,58443,PAYLOAD,SpaceX,52152,ROCKET BODY,NONE,True,False,False,False,False,False,False,False,False,False,14.994730277777778,0
55501,0.0,2024-08-10 14:33:32,EPHEM,HAC,2024-08-12 01:15:29.175,44922,PAYLOAD,SpaceX,55230,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,False,34.69921527777778,0
54140,0.0,2024-08-11 14:55:19,EPHEM,HAC,2024-08-12 17:45:47.772,45689,PAYLOAD,SpaceX,58200,ROCKET BODY,NONE,True,True,False,False,False,False,False,False,True,False,26.841325555555557,0
24133,2.551692e-08,2024-09-08 07:05:40,EPHEM,HAC,2024-09-10 22:03:46.452,48663,PAYLOAD,SpaceX,58200,ROCKET BODY,NONE,True,True,False,False,False,False,False,False,True,False,62.96845888888889,0
185,1.397486e-08,2024-08-05 07:09:05,HAC,HAC,2024-08-07 00:00:49.001,54172,PAYLOAD,SpaceX,54399,DEBRIS,NONE,False,True,False,True,False,False,True,True,True,False,40.862222499999994,0
4692,0.0,2024-08-11 21:18:39,EPHEM,HAC,2024-08-12 11:09:49.355,56790,PAYLOAD,SpaceX,54961,DEBRIS,NONE,True,False,False,False,False,False,False,False,True,False,13.85287638888889,0
9516,1.470247e-14,2024-08-06 15:22:30,EPHEM,HAC,2024-08-07 20:26:04.918,46781,PAYLOAD,SpaceX,56264,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,True,29.059699444444448,0
50604,0.0,2024-08-10 06:33:47,EPHEM,HAC,2024-08-12 17:54:27.502,47643,PAYLOAD,SpaceX,54961,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,False,59.34458388888889,0
32365,0.0,2024-09-07 05:12:23,EPHEM,HAC,2024-09-08 01:06:23.633,55782,PAYLOAD,SpaceX,60819,DEBRIS,NONE,True,False,False,False,False,False,False,False,False,False,19.900175833333332,0
9947,1.221852e-12,2024-09-06 21:40:23,EPHEM,HAC,2024-09-09 02:33:37.396,53198,PAYLOAD,SpaceX,54322,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,False,52.88733222222223,0
34449,1.155111e-21,2024-09-10 13:36:29,EPHEM,HAC,2024-09-11 17:37:14.779,53784,PAYLOAD,SpaceX,54435,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,False,28.012716388888887,0
34918,0.0,2024-09-06 13:11:34,EPHEM,HAC,2024-09-06 23:46:05.591,58714,PAYLOAD,SpaceX,54310,DEBRIS,NONE,True,False,False,False,False,False,False,False,True,False,10.575441944444444,0
45719,9.635229e-16,2024-08-09 11:27:01,EPHEM,HAC,2024-08-09 20:42:52.457,45396,PAYLOAD,SpaceX,54910,DEBRIS,NONE,True,False,False,False,False,False,False,False,True,True,9.264293611111112,0
1870,0.0,2024-08-10 15:53:07,EPHEM,HAC,2024-08-13 19:40:37.887,58286,PAYLOAD,Planet,54387,DEBRIS,NONE,True,False,False,True,False,False,False,True,True,False,75.79191305555555,0
10696,0.0,2024-09-05 01:14:44,EPHEM,HAC,2024-09-06 02:26:18.826,48449,PAYLOAD,SpaceX,54387,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,False,25.19300722222222,0
54596,0.0,2024-09-05 13:15:28,EPHEM,HAC,2024-09-06 04:22:44.328,57224,PAYLOAD,SpaceX,54310,DEBRIS,NONE,True,False,False,False,False,False,False,False,True,False,15.121202222222223,0
19353,0.0,2024-08-10 12:56:40,EPHEM,HAC,2024-08-12 07:23:48.299,55159,PAYLOAD,OneWeb,56646,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,False,42.452305277777775,0
50588,0.0,2024-09-10 06:36:57,EPHEM,HAC,2024-09-12 22:54:11.071,48381,PAYLOAD,SpaceX,54957,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,True,64.28724194444445,0
42310,0.0,2024-08-06 04:40:46,EPHEM,HAC,2024-08-08 15:26:39.189,57503,PAYLOAD,SpaceX,54961,DEBRIS,NONE,True,True,False,False,False,False,False,False,True,False,58.76477472222223,0
597,1.092937e-06,2024-09-05 13:15:44,EPHEM,HAC,2024-09-06 10:57:18.924,55772,PAYLOAD,SpaceX,55876,DEBRIS,NONE,True,False,True,True,False,False,True,True,True,True,21.693034444444443,1
614,3.430056e-05,2024-09-06 06:51:53,EPHEM,HAC,2024-09-06 16:25:29.729,48129,PAYLOAD,SpaceX,54957,DEBRIS,NONE,True,False,True,True,False,False,True,False,True,True,9.560202499999999,1
1283,5.852177e-06,2024-09-06 06:04:28,EPHEM,HAC,2024-09-08 18:17:34.866,53634,PAYLOAD,SpaceX,60803,DEBRIS,NONE,True,True,True,True,False,False,True,False,True,False,60.21857388888889,1
724,1.941554e-06,2024-09-08 03:15:17,HAC,HAC,2024-09-09 20:29:47.363,54761,PAYLOAD,SpaceX,54413,DEBRIS,NONE,False,True,True,True,True,False,False,True,True,False,41.2417675,1
707,2.09296e-06,2024-09-08 13:44:32,EPHEM,HAC,2024-09-09 11:06:11.217,53276,PAYLOAD,SpaceX,60673,DEBRIS,NONE,True,False,True,True,False,False,True,True,True,False,21.360893611111113,1
945,7.060285e-06,2024-09-09 13:04:40,HAC,HAC,2024-09-10 16:42:01.924,56037,PAYLOAD,SpaceX,54465,DEBRIS,NONE,False,True,True,True,False,False,True,False,True,False,27.622756666666668,1
1165,1.190414e-06,2024-09-05 01:56:01,HAC,HAC,2024-09-09 17:13:55.367,57219,PAYLOAD,SpaceX,52152,ROCKET BODY,NONE,False,False,True,True,False,False,False,False,True,False,111.29843527777778,1
475,3.154971e-05,2024-08-07 06:41:45,HAC,HAC,2024-08-08 04:29:35.778,49135,PAYLOAD,SpaceX,54435,DEBRIS,NONE,False,False,True,True,True,False,True,True,True,False,21.797438333333336,1
1975,1.55112e-05,2024-08-11 13:48:03,EPHEM,HAC,2024-08-13 18:00:55.421,55775,PAYLOAD,SpaceX,52152,ROCKET BODY,NONE,True,True,True,True,False,False,True,False,True,False,52.21456138888889,1
421,2.523866e-05,2024-09-10 04:43:51,EPHEM,HAC,2024-09-10 16:42:01.784,56037,PAYLOAD,SpaceX,54465,DEBRIS,NONE,True,False,True,True,False,False,True,True,True,False,11.969662222222222,1
